Date,Open,High,Low,Close,Volume
2020-01-02,21080,21340,20950,21190,896720
2020-01-03,21290,21370,20740,20820,2047880
2020-01-06,20630,20820,20540,20620,1091660
2020-01-07,20700,21010,20620,21010,837240
2020-01-08,20790,20860,20540,20540,1814290
2020-01-09,20700,20860,20630,20820,967050
2020-01-10,20790,20900,20630,20790,1018650
2020-01-13,20740,20820,20620,20630,786760
2020-01-14,20630,20740,20620,20620,721680
2020-01-15,20620,20630,20540,20620,940870
2020-01-16,20620,21040,20620,20950,1942970
2020-01-17,20950,21010,20620,20820,1388810
2020-01-20,20790,20950,20670,20740,1227100
2020-01-21,20900,20950,20060,20060,4351820
2020-01-22,19880,20420,19760,20420,3165650
2020-01-30,19990,20170,19500,19760,2638460
2020-01-31,19520,19840,18800,18800,4118150
2020-02-03,17910,18970,17720,18620,3602970
2020-02-04,18950,18950,18440,18730,1651440
2020-02-05,18910,19080,18800,18800,1648620
2020-02-06,18970,19380,18730,19380,1708550
2020-02-07,19150,19350,19080,19270,1218660
2020-02-10,18950,19150,18830,19020,738090
2020-02-11,19110,19420,19050,19380,1085380
2020-02-12,19460,19760,19420,19570,1104870
2020-02-13,19570,19700,19420,19630,1030570
2020-02-14,19570,19700,19520,19700,884240
2020-02-17,19720,19720,19520,19610,726390
2020-02-18,19670,20250,19630,20250,1760940
2020-02-19,20210,20320,20060,20140,681250
2020-02-20,20290,20390,20060,20170,780810
2020-02-21,20210,20210,19760,19760,1458040
2020-02-24,19180,19500,18970,18970,2261990
2020-02-25,18830,19520,18800,19520,1407720
2020-02-26,19300,19960,19150,19880,3221270
2020-02-27,19880,20420,19720,20250,2927040
2020-02-28,19880,20140,19720,19920,2132200
2020-03-02,19920,20320,19810,20140,1787060
2020-03-03,20320,20620,20140,20210,1193800
2020-03-04,20060,20060,19840,20060,1660790
2020-03-05,20060,20210,19720,19720,1296450
2020-03-06,19610,19630,19350,19520,1305030
2020-03-09,18510,18800,18180,18180,4735140
2020-03-10,18440,18800,18180,18700,2030340
2020-03-11,18800,18970,17890,18380,2753310
2020-03-12,17590,17820,17100,17390,3981670
2020-03-13,16379,18070,16340,17410,2919140
2020-03-16,17410,17950,17180,17200,1898960
2020-03-17,16980,17540,16810,17540,2474650
2020-03-18,17720,17750,17480,17510,1642800
2020-03-19,17200,17390,17200,17250,1296590
2020-03-20,17430,17450,17120,17250,1291360
2020-03-23,16660,16950,16050,16050,2826690
2020-03-24,16270,16270,15740,16079,2191500
2020-03-25,16620,16770,16329,16620,2131790
2020-03-26,16460,16590,15970,15970,2358310
2020-03-27,16050,16050,15510,15590,2633750
2020-03-30,14640,14860,14510,14610,2157690
2020-03-31,15000,15330,14510,14860,1663050
2020-04-01,14750,15610,14750,15290,1453030
2020-04-03,15540,16129,15430,16129,2072000
2020-04-06,16620,17180,16460,17180,2718990
2020-04-07,17180,17250,16810,17100,2463810
2020-04-08,16660,17000,16540,16920,1576670
2020-04-09,16980,17200,16810,16920,2142370
2020-04-10,16840,16980,16600,16770,1882020
2020-04-13,16770,16980,16660,16810,1255360
2020-04-14,17200,17890,16980,17890,4072050
2020-04-15,18260,18380,18010,18110,2205200
2020-04-16,17950,18380,17820,18180,1508480
2020-04-17,18510,18550,18150,18510,2631630
2020-04-20,18760,18800,18330,18550,2239780
2020-04-21,18260,18410,17690,17820,3737050
2020-04-22,17650,18510,17610,18480,2445860
2020-04-23,18830,18870,18440,18440,1363410
2020-04-24,18410,18510,18110,18440,1411380
2020-04-27,18620,18620,18260,18330,1419750
2020-04-28,18330,18380,18150,18330,974310
2020-04-29,18380,18580,18260,18380,1349230
2020-05-04,18150,18410,17990,18260,895530
2020-05-05,18380,18440,18220,18410,677990
2020-05-06,18440,19180,18440,19110,3470150
2020-05-07,19150,19350,18950,19350,2030720
2020-05-08,19380,19920,19380,19420,3585320
2020-05-11,19520,19670,19270,19520,2119430
2020-05-12,19520,19670,19380,19670,2828190
2020-05-13,20110,20970,20070,20890,6853810
2020-05-14,20720,20790,20540,20620,2597400
2020-05-15,20450,20690,20210,20320,2430890
2020-05-18,20110,20480,20070,20480,2000950
2020-05-19,20830,21050,20590,20850,2879030
2020-05-20,20740,20740,20560,20690,1245380
2020-05-21,20690,20880,20680,20880,2007060
2020-05-22,20740,20740,20520,20520,1731720
2020-05-25,20540,20590,20240,20520,2033000
2020-05-26,20540,20660,20480,20660,1615680
2020-05-27,20690,20920,20320,20320,2098580
2020-05-28,20410,20590,20320,20320,1194380
2020-05-29,20320,20360,20110,20300,1346170
2020-06-01,20320,20480,20320,20450,1298150
2020-06-02,20450,20540,20320,20320,1456730
2020-06-03,20320,20720,20290,20600,1893060
2020-06-04,20690,20690,20490,20490,1260060
2020-06-05,20490,20620,20390,20620,1236200
2020-06-08,20740,21170,20740,20890,4113250
2020-06-09,21010,21010,20690,20720,1491540
2020-06-10,20740,20740,20490,20660,1307540
2020-06-11,20660,20660,19490,19490,4278060
2020-06-12,19050,19890,19050,19890,3145450
2020-06-15,20320,20320,19440,19490,1207500
2020-06-16,19710,19810,19610,19710,1100730
2020-06-17,19760,19780,19590,19630,788630
2020-06-18,19610,19760,19550,19710,822980
2020-06-19,19710,19890,19710,19890,745470
2020-06-22,19890,19890,19820,19890,787180
2020-06-23,19880,20490,19780,20130,1693730
2020-06-24,20290,20300,19920,19990,607000
2020-06-25,19740,19940,19710,19810,730810
2020-06-26,19810,19960,19760,19820,602880
2020-06-29,19710,19710,19420,19510,1281220
2020-06-30,19550,19640,19220,19330,1594210
2020-07-01,19490,19610,19400,19570,866660
2020-07-02,19610,19610,19460,19550,539160
2020-07-03,19690,19690,19520,19590,529760
2020-07-06,19690,19880,19610,19810,1089910
2020-07-07,19890,20290,19890,20090,2739150
2020-07-08,20030,20290,20030,20200,1472610
2020-07-09,20290,20490,20240,20480,2298900
2020-07-10,20360,20430,20110,20240,1164310
2020-07-13,20320,20720,20210,20600,2662490
2020-07-14,20450,20680,20450,20560,1549540
2020-07-15,20620,20720,20490,20590,1516540
2020-07-16,20560,20630,20490,20590,1060530
2020-07-17,20540,20540,20360,20360,1313100
2020-07-20,20360,20410,20050,20070,2049680
2020-07-21,20110,20300,20010,20240,940230
2020-07-22,20320,20320,20030,20070,817890
2020-07-23,20070,20210,19940,20210,918630
2020-07-24,20070,20130,19220,19440,3170540
2020-07-27,19050,19440,18460,18500,3274350
