Date,Open,High,Low,Close,Volume
2020-01-02,51060,51110,50660,51110,440280
2020-01-03,51110,51240,50790,51240,248940
2020-01-06,51110,51110,50840,50880,301910
2020-01-07,50880,51110,50790,50970,183910
2020-01-08,50880,50970,50480,50790,468910
2020-01-09,50790,51150,50750,50970,273870
2020-01-10,51110,51110,50970,51020,159120
2020-01-13,50970,51150,50880,51060,146680
2020-01-14,51060,51150,50790,51110,101150
2020-01-15,51110,51110,50790,51110,205600
2020-01-16,51110,51150,50790,51110,186740
2020-01-17,51060,51150,50840,51060,169100
2020-01-20,51060,51060,50790,51060,370670
2020-01-21,50790,51110,50790,51060,181510
2020-01-22,51060,51060,50750,51060,371780
2020-01-30,50710,51060,49820,51060,682720
2020-01-31,51060,51060,50480,51020,831740
2020-02-03,50570,51020,49910,51020,760420
2020-02-04,50480,51020,49680,51020,1485500
2020-02-05,51020,51020,50220,50880,468420
2020-02-06,50840,50970,50130,50840,676290
2020-02-07,50660,50840,49770,50840,1295520
2020-02-10,50220,50710,50220,50530,192700
2020-02-11,50440,50750,50220,50390,290630
2020-02-12,50390,50390,49770,49770,452790
2020-02-13,49550,50080,49510,49950,285340
2020-02-14,49910,50040,48880,48880,252390
2020-02-17,48880,48880,46660,47990,742220
2020-02-18,47550,47550,46220,46440,791870
2020-02-19,45990,47550,45990,46660,875320
2020-02-20,47110,48880,46660,48880,353570
2020-02-21,48260,48880,47910,48840,309060
2020-02-24,47590,47990,46880,47680,1428650
2020-02-25,47420,47680,47060,47550,543820
2020-02-26,46220,47370,46220,47060,625410
2020-02-27,47020,47110,46260,46930,740420
2020-02-28,46660,46840,45770,46840,870840
2020-03-02,46220,46840,45640,46840,742130
2020-03-03,46710,46930,46440,46880,557950
2020-03-04,46480,46880,45990,46880,443810
2020-03-05,46710,47060,46130,46930,352300
2020-03-06,46660,46660,45820,46660,750830
2020-03-09,45110,45330,43420,43420,966890
2020-03-10,41330,44080,40530,43420,825490
2020-03-11,43550,43550,40480,43110,1049580
2020-03-12,40440,41020,40130,40800,1896270
2020-03-13,38220,41110,37950,41110,1226880
2020-03-16,40880,41110,38480,41110,971340
2020-03-17,39770,41020,38930,39330,681330
2020-03-18,39060,40000,38440,39550,785390
2020-03-19,38620,39420,36930,39420,1103680
2020-03-20,39420,39420,36660,36660,1083480
2020-03-23,34660,34800,34130,34130,678160
2020-03-24,31910,33330,31770,31770,1474050
2020-03-25,31770,34000,30220,34000,1401570
2020-03-26,34480,36350,33600,36350,1242250
2020-03-27,36440,38840,35330,38570,1149310
2020-03-30,35910,36440,35910,36170,881240
2020-03-31,36170,38660,35730,37060,1296450
2020-04-01,36660,38660,36000,38220,437820
2020-04-03,38220,40440,38220,40440,1184500
2020-04-06,40880,43240,40570,43240,2698260
2020-04-07,43370,44840,41330,43240,2855700
