Date,Open,High,Low,Close,Volume
2020-01-02,71450,72180,71140,72000,352700
2020-01-03,72180,72660,72180,72240,625390
2020-01-06,72060,72180,71330,71690,495910
2020-01-07,71740,72530,71740,72370,459520
2020-01-08,72370,72530,71740,72530,837710
2020-01-09,72660,72970,72310,72440,624130
2020-01-10,72440,72790,72310,72590,596280
2020-01-13,72660,72660,71690,71690,412880
2020-01-14,71690,72130,71510,71940,335180
2020-01-15,71940,72000,71550,71940,681740
2020-01-16,71940,72370,71550,72180,545090
2020-01-17,72180,72440,71940,72440,375030
2020-01-20,72660,72790,72310,72660,493600
2020-01-21,72660,74430,72440,73870,853940
2020-01-22,73870,74430,73870,74070,794440
2020-01-30,72660,73160,70960,71210,1533720
2020-01-31,71090,71210,66250,66250,1915820
2020-02-03,61970,67480,61690,66140,2289150
2020-02-04,67100,67180,63560,64110,1869040
2020-02-05,64980,65760,63070,65110,1545750
2020-02-06,65640,66330,64660,65640,2137020
2020-02-07,65760,67480,65710,67300,1523380
2020-02-10,66570,66800,65510,66570,910510
2020-02-11,66570,66570,65340,65440,885960
2020-02-12,65950,65950,65440,65440,838170
2020-02-13,65440,65640,65110,65290,713560
2020-02-14,65440,65570,65110,65110,708080
2020-02-17,65220,65710,65220,65640,623350
2020-02-18,65830,65830,64290,64420,1078500
2020-02-19,64110,65160,64110,64980,794470
2020-02-20,65340,65640,64910,64980,624620
2020-02-21,65640,66800,65640,66250,1484500
2020-02-24,65340,65830,64720,64980,954600
2020-02-25,64910,66250,64720,65950,1200220
2020-02-26,65160,65160,64110,64110,1346630
2020-02-27,64110,65570,63380,65570,863890
2020-02-28,64290,64790,62910,63820,1437350
2020-03-02,63820,64420,63380,63820,909240
2020-03-03,64420,64860,63870,64290,741380
2020-03-04,64290,64720,63820,64000,612800
2020-03-05,64110,64660,63820,63820,438020
2020-03-06,63820,64000,63260,63630,664920
2020-03-09,61070,62590,59230,59230,2356790
2020-03-10,58610,62160,58610,62110,1761300
2020-03-11,62280,64110,60580,62030,2292410
2020-03-12,59360,61970,59230,61630,2431600
2020-03-13,58140,61430,58140,60530,2159130
2020-03-16,60530,60580,58930,59230,1087080
2020-03-17,58610,58870,58010,58610,1788240
2020-03-18,58740,59730,58010,58010,1322150
2020-03-19,56800,57400,54360,54360,2774560
2020-03-20,54360,55750,54360,54950,2316660
2020-03-23,54400,54400,51120,51120,2187710
2020-03-24,51120,53910,51120,52560,1739530
2020-03-25,55320,56230,55020,56170,2993020
2020-03-26,56370,58010,54230,57400,2556450
2020-03-27,56800,58200,56170,57460,2755950
2020-03-30,54950,56480,54360,55700,1559900
2020-03-31,56480,57040,54950,55580,1293290
2020-04-01,55580,57400,55580,57400,1155730
2020-04-03,57710,58320,57400,58010,1934430
2020-04-06,58930,58990,58010,58740,1840550
2020-04-07,58930,60460,58490,60150,2273090
2020-04-08,59830,60460,58930,60460,904920
2020-04-09,61000,61630,60580,61120,1220550
2020-04-10,61070,61070,59890,60820,1111470
2020-04-13,60820,60930,60030,60530,1127670
2020-04-14,60760,60860,60280,60460,1059560
2020-04-15,60860,60860,60580,60580,886130
2020-04-16,60640,60760,60400,60640,1155660
2020-04-17,61070,61120,60460,60640,1767310
2020-04-20,61070,61810,61070,61070,1471680
2020-04-21,61070,61070,58490,59120,2129360
2020-04-22,58690,59590,58490,59540,1085950
2020-04-23,60220,60220,58550,58690,1443180
2020-04-24,60640,62780,59540,62780,3624460
2020-04-27,65030,65030,62780,62780,1950560
2020-04-28,62780,62910,60860,61370,1401520
2020-04-29,60460,61000,60460,60460,1769090
2020-05-04,59230,60460,59230,59590,1235970
2020-05-05,60330,61630,59830,61370,1163800
2020-05-06,61500,61970,60860,61970,1105020
2020-05-07,62030,63380,61970,63140,1583260
2020-05-08,63820,65710,63510,64110,3184170
2020-05-11,66250,66250,63950,66250,1792200
2020-05-12,66250,69870,65570,69550,2944650
2020-05-13,69130,70220,67180,69430,2507730
2020-05-14,68750,69550,68710,68990,1397750
2020-05-15,68990,69310,66800,67670,2320230
2020-05-18,67670,68280,66570,67840,898370
2020-05-19,69480,69870,68580,68750,1432400
2020-05-20,68710,69870,68710,69620,1199680
2020-05-21,69620,70220,69310,70220,1582090
2020-05-22,69870,70120,69310,69870,1083060
2020-05-25,69930,71810,69680,71810,1581860
2020-05-26,72060,72060,70340,71810,983170
2020-05-27,71880,71940,70220,70220,1108350
2020-05-28,70220,70840,70120,70120,1004500
2020-05-29,69310,70340,69310,70220,1203680
2020-06-01,70270,71450,70270,70890,1047020
2020-06-02,70890,71450,70660,70840,891910
2020-06-03,70960,72130,70590,71210,1322080
2020-06-04,71450,72000,71450,71940,735420
2020-06-05,71940,72790,71280,72790,1076470
2020-06-08,72790,75350,72730,74970,1419750
2020-06-09,75160,76960,75160,76320,1704320
2020-06-10,76960,76960,74970,75120,1242180
2020-06-11,75120,76320,73870,74690,1098260
2020-06-12,72060,73160,69990,72060,2394330
2020-06-15,73280,73830,68400,68400,2058870
2020-06-16,69990,71740,69620,71450,844740
2020-06-17,71450,71550,70470,70590,513570
2020-06-18,70590,71210,69680,70340,523160
2020-06-19,70340,71140,70220,70220,1251600
2020-06-22,70220,70780,70120,70470,867620
2020-06-23,70840,71090,70590,70840,1063470
2020-06-24,71090,72310,71090,71510,750960
2020-06-25,71140,71140,70410,71090,572770
2020-06-26,71210,71510,70470,70780,495750
2020-06-29,70530,70710,68110,69210,1519040
2020-06-30,69920,70210,69210,69720,797960
2020-07-01,69720,71150,69290,70960,450020
2020-07-02,71030,71090,69920,69920,720480
2020-07-03,69920,70660,69790,70590,729290
2020-07-06,70840,72150,70710,72070,1319980
2020-07-07,72070,72450,71760,71760,1024960
2020-07-08,71760,71760,71460,71460,551310
2020-07-09,71460,72190,71460,71700,1560410
2020-07-10,71760,72020,71330,71330,677180
2020-07-13,71330,71640,70710,71030,943850
2020-07-14,70660,71290,70460,71290,731170
2020-07-15,71760,72390,71760,71760,1015000
2020-07-16,72190,72690,71900,72690,1112460
2020-07-17,72190,72620,72070,72260,583510
2020-07-20,71760,72190,71460,71560,474700
2020-07-21,71560,71950,70900,71760,1618780
2020-07-22,71390,71760,70590,70590,1051320
2020-07-23,70660,70900,70210,70660,766500
2020-07-24,70660,70660,67430,68740,2313270
2020-07-27,66260,66580,63980,63980,2553780
2020-07-28,64340,67990,64340,67990,1390810
2020-07-29,67120,67370,65290,65560,1497450
2020-07-30,66810,67760,66060,67430,1028620
2020-07-31,66200,67560,65900,66200,839830
2020-08-03,66810,68050,66620,67560,860190
2020-08-04,68680,68860,67990,68860,765170
2020-08-05,68960,70270,68050,69360,888080
2020-08-06,69420,71760,69360,71030,1360570
2020-08-07,71150,71760,71030,71460,1148200
2020-08-10,71760,72070,70840,70840,1412680
2020-08-11,71090,71150,70530,70840,852250
2020-08-12,70840,71700,70840,71510,1451960
2020-08-13,71760,72150,71700,72020,1238980
2020-08-14,72150,73000,71900,72190,1623690
2020-08-17,72390,72940,71330,72390,906890
2020-08-18,72390,72620,71510,71510,604570
2020-08-19,71760,71760,71090,71330,981840
2020-08-20,71330,71640,70900,71290,1254280
2020-08-21,71460,71760,71210,71510,884990
2020-08-24,72070,72760,71760,72070,1526860
2020-08-25,72390,72940,72260,72560,1693030
2020-08-26,73000,73120,72320,72450,1922780
2020-08-27,72690,72940,72390,72510,799570
2020-08-28,72870,74240,72510,73800,1341270
2020-08-31,74410,74870,73910,74870,1634090
2020-09-01,74870,76220,74360,76220,1448060
2020-09-03,76410,77220,76410,77160,2016680
2020-09-04,76520,77310,76170,77310,1711980
2020-09-07,77310,79440,77260,77950,2178380
2020-09-08,77890,78820,76660,76840,1809570
2020-09-09,75780,76660,75160,76590,1621920
2020-09-10,77310,77580,76970,77160,848330
2020-09-11,76840,77160,76410,76590,956670
2020-09-14,76970,77310,76730,76840,1194170
2020-09-15,76840,77260,76730,77220,882030
2020-09-16,77310,77310,76660,76840,724510
2020-09-17,76730,77820,76730,77030,1376570
2020-09-18,77080,78200,76840,78200,1224030
2020-09-21,78200,80550,78200,80480,2614310
2020-09-22,80480,80550,79510,80180,1244610
2020-09-23,80380,80550,79870,79920,1042800
2020-09-24,79320,79740,78760,78760,1506610
2020-09-25,79070,79190,78880,79010,1011140
2020-09-28,79190,79570,78760,79380,2169790
2020-09-29,82930,84880,81420,82320,5191680
2020-09-30,82930,83980,81790,82080,1432380
2020-10-01,82170,82460,81340,82390,1702500
2020-10-02,82530,83010,80430,81420,2864220
2020-10-05,81420,82170,80670,80890,1427600
2020-10-06,80890,81420,80280,80670,2044710
2020-10-07,80500,81420,80280,81420,2153700
2020-10-08,81340,81340,80500,80580,1325810
2020-10-09,80670,80740,80370,80430,980970
2020-10-12,80500,81260,80370,80670,1209250
2020-10-13,80670,81420,80580,80740,858550
2020-10-14,80740,81170,80500,80940,1299160
2020-10-15,81260,81340,80670,81030,1854560
2020-10-16,81030,81420,80580,80940,1637740
2020-10-19,80940,81640,80940,81170,1617740
2020-10-20,80890,81100,79890,80040,2150990
2020-10-21,80280,80580,79890,80210,805550
2020-10-22,80500,80500,79220,80430,2422540
2020-10-23,81030,82930,80740,82930,2946790
2020-10-26,83670,84800,82930,83280,2313520
2020-10-27,82930,83670,82230,82610,1721090
2020-10-28,82170,82170,80280,80940,2609180
2020-10-29,80280,80810,79600,80580,1723240
2020-10-30,80670,81420,79380,81420,2683620
2020-11-02,80670,81420,80670,81100,867340
2020-11-03,81100,81420,80670,81170,870230
2020-11-04,81420,82460,80940,81420,1342780
2020-11-05,81420,82460,81420,81990,1891270
2020-11-06,82320,82460,81420,81990,1011020
2020-11-09,82170,82460,81790,81990,1066640
2020-11-10,82230,82320,81030,81030,2297200
2020-11-11,81340,81340,79890,81030,2429710
2020-11-12,81030,81030,80430,80670,1074590
2020-11-13,80670,80940,80670,80940,1089500
2020-11-16,81030,81940,80670,80740,2571160
2020-11-17,80810,81170,80670,81100,1648330
2020-11-18,81420,82530,81260,82460,3396750
2020-11-19,82460,82700,82170,82700,3140680
2020-11-20,82840,84060,82230,83590,2801420
2020-11-23,83670,83890,82770,83360,2104330
2020-11-24,83360,83590,82170,82610,1937130
2020-11-25,82610,83670,82230,83280,2190900
2020-11-26,83590,83590,82390,82840,1490270
2020-11-27,82840,82840,81940,82770,2823860
2020-11-30,82770,82930,81420,81560,2687040
2020-12-01,80890,82770,80810,82700,2493230
2020-12-02,82610,82770,81940,82170,1332460
2020-12-03,82170,82840,81990,82530,1108730
2020-12-04,82530,82700,81990,82170,1571130
2020-12-07,82930,83590,81990,82930,1970400
2020-12-08,83010,83130,82170,82320,1468350
2020-12-09,82930,83010,82390,82700,1701940
2020-12-10,83130,85850,83130,84420,6077770
2020-12-11,84420,85040,84290,84880,2297940
2020-12-14,85040,85470,84720,85470,2535300
2020-12-15,85160,85410,83520,83820,4572910
2020-12-16,83820,84640,83450,84120,2106480
2020-12-17,83670,83670,83130,83220,2951870
2020-12-18,83280,83670,82930,83220,3342900
2020-12-21,83220,83980,83070,83670,2341080
2020-12-22,83590,83590,82770,82840,2266760
2020-12-23,82840,83980,82840,83070,2432590
2020-12-24,83070,83280,81420,81940,2511360
2020-12-25,81990,82230,81480,82170,1755510
2020-12-28,82230,82700,81640,81940,2305300
2020-12-29,82170,82460,81880,82320,1299700
2020-12-30,82320,83070,81880,81990,1856600
2020-12-31,82170,82840,81990,81990,993810
2021-01-04,82700,82770,82170,82390,2299600
2021-01-05,82840,85190,82460,84300,4013900
2021-01-06,84440,84670,83520,83520,2823100
2021-01-07,83690,84300,83520,84000,2453000
2021-01-08,84830,85880,84350,85190,3323000
2021-01-11,85580,88240,85580,88160,4603900
2021-01-12,88630,88780,87800,88480,2344900
2021-01-13,88480,89160,86870,87100,2521600
2021-01-14,87030,87030,85660,86040,3680400
2021-01-15,86360,87720,86040,86650,2125700
2021-01-18,86870,87560,86200,86200,2624000
2021-01-19,86200,86200,81410,81940,3668300
2021-01-20,82780,83290,80650,82930,3363700
2021-01-21,83600,84230,82780,83900,2531200
2021-01-22,83830,84300,82710,82710,2429000
2021-01-25,82840,83450,82170,82320,2554800
2021-01-26,82230,82530,79870,81170,2596900
2021-01-27,80650,81240,77980,78570,3153800
2021-01-28,76070,77520,73100,73100,4565600
2021-01-29,73030,78210,73030,78210,4140500
2021-02-01,78360,80030,77590,78120,2934800
2021-02-02,77820,81410,77820,80930,3350900
2021-02-03,80930,83450,80930,83450,3056500
2021-02-04,83450,83450,81410,82780,1896800
2021-02-05,82610,83690,82610,83370,2231200
2021-02-08,83370,83370,78970,80110,4331600
2021-02-09,80110,82840,79800,82170,1931700
2021-02-17,82170,82840,81630,82710,2872300
2021-02-18,82710,82930,81780,82930,2847400
2021-02-19,81990,82390,81470,82170,2696500
2021-02-22,81720,81990,81630,81780,3006200
2021-02-23,81780,82170,80790,81410,3048400
2021-02-24,81410,82080,80260,80480,2801000
2021-02-25,80560,80870,79270,79580,4282900
2021-02-26,78820,79800,78660,79720,3357800
2021-03-01,80260,80560,79870,80350,2179000
2021-03-02,80790,81020,79110,79800,3050100
2021-03-03,79720,79800,79110,79510,2551300
